"x","m","w","y","bin","group","score","T1","T2","T3","T4","S1","S2","S3","S4"
37.59,-1.922,2.83,2.163,1,"A",11.945,4,5,4,4,2,3,3,3
39,-1.802,3.932,1.998,1,"A",9.078,2,2,2,3,1,2,1,1
65.95,1.481,3.042,6.533,1,"B",10,2,2,3,2,2,2,1,1
54.01,-1.269,2.921,3.23,1,"B",7.758,4,5,4,3,5,4,5,5
53.92,-0.212,1.68,1.185,0,"C",14.343,2,3,3,3,4,4,2,3
58.34,0.48,4.112,3.962,0,"A",9.944,5,4,5,4,4,3,4,3
55.56,-1.421,3,2.809,0,"C",10.819,3,3,4,3,3,3,3,3
32.9,-0.951,3.399,3.612,0,"B",11.088,3,2,2,3,4,3,4,3
65.36,0.11,1.246,2.21,0,"A",11.35,2,3,1,2,1,2,2,2
74.36,-0.273,0.847,2.173,0,"A",9.192,3,1,2,2,5,3,2,4
43.24,1.588,2.856,2.028,0,"A",10.725,2,3,2,4,3,5,4,4
38.94,0.214,3.661,2.618,0,"A",9.713,4,5,5,3,2,2,2,2
43.18,-1.815,1.737,3.555,0,"B",11.042,4,4,4,4,2,2,3,3
63.09,0.522,4.092,6.99,1,"A",9.853,3,3,3,3,3,3,3,4
57.02,-2.109,3.395,2.981,1,"A",9.619,3,3,2,3,4,3,4,3
48.15,-0.019,1.022,4.188,0,"B",12.773,1,1,2,1,4,3,3,4
57.38,0.534,5.165,3.312,0,"A",8.382,2,3,2,3,4,4,4,1
51.6,0.221,3.432,4.942,0,"A",9.752,3,2,3,3,3,3,3,3
36.76,-2.555,1.462,1.532,0,"B",9.152,2,3,2,3,4,3,2,2
41.16,-1.448,4.481,2.348,1,"B",,3,3,2,2,2,1,1,2
56.84,1.209,4.433,4.66,0,"A",11.429,2,3,3,1,2,2,2,3
35.69,-1.162,2.038,2.744,0,"B",11.064,3,3,5,4,5,4,4,4
46.85,-1.824,3.923,3.274,1,"A",10.964,2,1,1,1,2,2,1,1
43.62,0.568,2.36,3.029,0,"B",14.318,1,2,3,3,5,4,2,3
56.71,0.47,2.053,4.438,0,"A",8.753,4,5,4,4,4,2,3,5
45.96,-1.478,2.667,0.983,1,"B",11.258,3,3,3,1,4,3,4,5
57.42,-0.68,2.4,3.692,0,"A",10.717,3,1,2,1,5,4,4,3
49.47,-0.007,1.611,2.218,0,"C",10.516,3,4,3,2,3,3,3,3
37.17,-1.719,2.151,0.384,1,"B",11.957,3,1,3,3,4,3,4,3
47.4,-0.812,3.578,1.067,0,"B",7.6,2,3,2,2,2,2,2,2
56.45,0.026,3.377,2.783,1,"C",9.027,2,2,2,1,3,2,3,3
79.44,2.304,2.96,6.474,1,"B",12.589,2,3,2,2,2,2,1,1
43.06,-1.324,2.946,1.867,0,"C",2.96,2,2,2,2,4,3,2,4
57.1,0.71,3.334,4.979,1,"A",10.243,3,3,4,4,3,3,4,1
38.23,-1.306,3.601,2.592,0,"A",9.691,3,2,3,4,3,5,4,4
60.39,-0.726,3.251,3.501,0,"A",10.1,5,5,5,4,5,3,4,5
63.87,1.18,1.895,1.16,0,"A",9.328,2,2,1,3,3,2,3,3
45.74,-0.962,3.98,2.959,0,"B",12.01,4,5,3,4,4,3,3,3
41.74,0.695,3.122,2.719,1,"A",9.481,3,3,3,3,3,3,4,3
23.78,-0.241,1.428,1.954,0,"C",10.296,3,2,4,2,2,2,3,1
58.04,1.525,2.175,4.2,1,"A",11.682,3,3,4,3,2,4,3,3
48.42,0.099,2.798,2.784,1,"B",11.689,1,4,2,3,1,2,1,2
33.41,-2.034,3.567,-0.556,0,"C",18.673,4,3,4,3,2,2,2,3
27.43,-0.029,3.634,2.511,0,"C",13.13,1,4,2,2,3,3,2,3
32.72,-0.959,1.806,4.427,1,"B",14.079,4,5,4,4,2,2,4,1
44.12,0.498,3.198,4.601,0,"A",9.989,5,4,5,3,2,3,1,4
41.64,1.44,3.456,4.76,0,"A",9.465,2,3,4,3,2,4,2,4
35.38,-0.527,4.299,2.857,1,"A",11.242,4,4,4,5,3,3,2,3
64.3,0.642,2.378,2.916,0,"C",16.212,2,1,3,2,3,2,3,2
43.55,0.194,4.301,1.93,0,"A",8.388,5,4,3,3,3,3,3,4
57.4,-0.717,1.07,2.897,0,"C",10.49,4,3,2,1,2,1,3,1
48.08,0.89,3.198,3.538,0,"B",10.134,2,2,1,2,3,2,2,3
55.8,1.822,2.43,3.665,0,"B",12.063,3,3,3,3,2,2,3,2
60.01,-0.584,4.68,4.639,1,"B",13.881,3,5,3,4,2,3,3,3
50.93,-1.361,3.389,2.98,1,"A",10.755,4,4,5,4,5,4,4,4
37.22,-0.123,3.172,3.436,1,"A",10.486,2,1,1,2,5,3,3,4
53.03,2.158,4.023,4.927,1,"A",10.539,2,1,2,3,2,1,3,1
63.75,0.131,4.086,5.046,1,"A",10.193,2,3,2,2,2,4,3,4
53.48,-0.217,5.037,1.677,0,"B",12.467,2,2,2,1,3,1,2,2
43.73,0.631,3.768,3.079,1,"B",11.624,1,1,1,2,2,4,5,3
